name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
SNC,SunContract,SNC,N/A,/coins/snc/overview,N/A,,,,,
BLU,BlueCoin,BLU,PoW/PoS,/coins/blu/overview,Scrypt,,,,,
BLT,Bloom Token,BLT,N/A,/coins/blt/overview,N/A,,,,,
BLV,Blockvest,BLV,N/A,/coins/blv/overview,N/A,,,,,
AGVC,AgaveCoin,AGVC,N/A,/coins/agvc/overview,N/A,,,,,
BLX,Blockchain Index,BLX,N/A,/coins/blx/overview,N/A,,,,,
SNL,Sport and Leisure,SNL,N/A,/coins/snl/overview,N/A,,,,,
SNK,Sosnovkino,SNK,N/A,/coins/snk/overview,N/A,,,,,
BLZ,Bluzelle,BLZ,N/A,/coins/blz/overview,N/A,,,,,
SNM,SONM,SNM,N/A,/coins/snm/overview,N/A,,,,,
SNT,Status Network Token,SNT,N/A,/coins/snt/overview,N/A,,,,,
SNS,Sense,SNS,N/A,/coins/sns/overview,N/A,,,,,
BMC,Blackmoon Crypto,BMC,N/A,/coins/bmc/overview,N/A,,,,,
BMH,BlockMesh,BMH,N/A,/coins/bmh/overview,N/A,,,,,
SNX,Synthetix,SNX,N/A,/coins/snx/overview,N/A,,,,,
BMG,Borneo,BMG,N/A,/coins/bmg/overview,N/A,,,,,
ETBS,EthBits,ETBS,N/A,/coins/etbs/overview,N/A,,,,,
ECAD,Canada eCoin,ECAD,PoW,/coins/ecad/overview,Scrypt,,,,,
ETBT,Ethereum Black,ETBT,N/A,/coins/etbt/overview,N/A,,,,,
BMK,Benchmark,BMK,N/A,/coins/bmk/overview,N/A,,,,,
SOC,All Sports Coin,SOC,N/A,/coins/soc/overview,N/A,,,,,
CVNT,Content Value Network,CVNT,N/A,/coins/cvnt/overview,N/A,,,,,
BMT,BMChain,BMT,N/A,/coins/bmt/overview,N/A,,,,,
BMX,BitMart Coin,BMX,N/A,/coins/bmx/overview,N/A,,,,,
SOJ,Sojourn Coin,SOJ,PoW,/coins/soj/overview,Scrypt,,,,,
SNcoin,ScientificCoin,SNcoin,N/A,/coins/sncoin/overview,N/A,,,,,
SOL,Sola,SOL,N/A,/coins/sol/overview,N/A,,,,,
CVNG,Crave-NG,CVNG,PoS,/coins/cvng/overview,SHA-256,,,,,
SON,Simone,SON,N/A,/coins/son/overview,N/A,,,,,
BNA,BananaTok,BNA,N/A,/coins/bna/overview,N/A,,,,,
SOP,SoPay,SOP,N/A,/coins/sop/overview,N/A,,,,,
BNC,Benjacoin,BNC,N/A,/coins/bnc/overview,N/A,,,,,
CVNC,CovenCoin,CVNC,PoW/PoS,/coins/cvnc/overview,SHA-256,,,,,
CELR,Celer Network,CELR,N/A,/coins/celr/overview,N/A,,,,,
BNB,Binance Coin,BNB,N/A,/coins/bnb/overview,N/A,,,,,
