cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,kahnchat,,"KahnChat isn't just a traditional mobile payment app but it takes the very best of other apps and combines them together for more features to simplify your daily life. Making a payment, voice chat, video chat, text messaging, social media follows and so much more. As a KhanChat user, he/she can easily make fund transfers to friends or family without knowing their bank account details. Funds arrive at the recipient account instantly. The KahnChat app incorporates more than just normal chat features associated with most communication apps, it is a one-stop app for every user between the ages of 18-65 years. The app can be used for messaging via text, voice, video, paying bills and funds transfer, order payments, user-story sharing and for increasing fans and follows of business and public figures.",KCH,4th Feb 2018,31st Mar 2018,https://www.kahnchat.com,UK,https://www.kahnchat.com/docs/KahnChat-Whitepaper-v2-en.pdf
Banking,,litecoin cash,,"Today the market have lot of offers for investing and gaining money via cryptocurrency. But not all of them are good to invest. Litecoin Cash system will help you to assure your gaining in a secured and a comfortable way. You just have to buy our TOKEN with a cheap price at the ICO. Litecoin Cash ethereum token (LTCH) is an innovative cryptocurrency. A form of ethereum blockchain (erc20) , enhanced and further developed version, instant and secure payments as well as anonymous transactions. Litecoin Cash has great potential for rapid growth and expansion. It is accessible to everyone; it ensures a fair and stable return of investments.",LTCH,2nd Apr 2018,1st Jul 2018,https://litecoin-cash.io,UK,https://litecoin-cash.io/Whitepaper.pdf
Banking,,localcoin.is dex,,"LocalCoin is THE true democracy decentralized ecosystem where everyone is free to do what they want and say what they want. LocalCoin is not a company or a person, it is a community of people who shares the same libertarian values and freedoms.",LLC,1st Aug 2019,1st Oct 2019,https://localcoin.is,UK,https://localcoin.is/downloads/LocalCoinBlockchain.pdf
Banking,,moncrypt,,"MONCRYPT is a decentralized managing platform for your assets. It works on the basis of blockchain technology and smart-contracts. In traditional sense it is banking with additional services which works with cryptocurrencies. Our sidechain enhances bitcoin blockchain capabilities. It allows to conduct fully confidential transactions super fast. Whole system is secure and guarded with biometric ID. One-time sign up gives you complete anonymity inside our system. You should be able to use our discount rates for flights and hotels, exchange all available currencies to crypto and back at official exchange rate, play games and make bets, sell something to earn bitcoins and much more!",MON,20th Sep 2017,20th Oct 2017,https://moncrypt.com,UK,https://moncrypt.com/file/Moncrypt_Presentation.pdf
Banking,,pcore,,"Pcore a P2P (peer to peer) invoice discounting platform integrated in the blockchain technology, with the aim to combine transparency, trust, speed and security of the blockchain with registered smart contracts and directly bring together invoice sellers and lenders. At Pcore LTD we aim to combine todays technology into a niche but growing market. As more businesses are turning to other alternatives of funding other than banks, we want to bring them a platform which they can trade their invoices for faster means of obtaining their due amount. In return helping them expand, grow and keep up with business costs.",PCC token,20th Jun 2019,28th Aug 2019,https://Pcore.co,UK,https://pcore.co/assets/docs/White_Paper.pdf
Banking,,rosenbridge digital,,"Commercial global financial services delivered digitally.",RDCR,1st Sep 2017,6th Oct 2017,https://www.rosenbridgedigital.org,UK,https://docs.wixstatic.com/ugd/76fdf0_00a12522a2d845749fcbc7171b4a838a.pdf
Banking,,stattm project,,"Stattm is the idea of building a better decentralized cryptocurrency for instant, cheap & safe banking,and a everyday life marketplace for life's needs and requirements , a multi-purpose cryptocurrency, stattm will have an ios & android mobile handy light wallet app and a offline wallet for security to solve all the digital payments, trading, investing and marketing problems.",STTM,28th Mar 2019,11th May 2019,https://stattm.com,UK,https://stattm.com/whitepapers/
Banking,,the deal coin,17.640141,"A decentralized P2P lending eco-system and a wake-up call to the global finance sector, from We Fund Any Deal - Working Better, Together. The next generation in decentralized lending platforms, combining blockchain expertise with real world financial experience. A true disrupter in the marketplace, the platform of choice for millions of investors looking for a better deal and connecting them with businesses wanting quicker and fairer access to finance, regardless of location in the world.",DLSD,26th Mar 2018,27th Jul 2018,http://thedealcoin.com,UK,https://wefundanydeal.io/wp-content/uploads/The-Deal-Coin-Whitepaper.pdf
Banking,,token changer,,"Token Changer is a multi-blockchain platform for financial products and services. We design, build and host a wide variety of financial DApps. From simple token trading DApps to complex financial applications. The market for financial products and services is one of the biggest markets that make up the global economy. The blockchain will have a huge impact in the way we produce and consume financial services and Token Changer is well positioned to take advantage of this change. We are building a secure financial products and services platform that is user friendly enough for anyone to use. That is why our DApps are accessible using a web browser. And there are no passwords required for login, since the DApps live 100% on the blockchain thereby utilising the full security features of blockchain technology. We started working on the Token Changer platform in January, 2017 and today the platform is 90% complete. We have DApps running on the ethereum mainnet and testnets.",TOC,21st Jun 2018,21st Aug 2018,http://tokenchanger.io,UK,https://medium.com/tokenchanger/papers/home
Banking,,tokencard,12.782,"TokenCard is a depositless Ethereum token-based debit card & platform. TKN is a special kind of Ethereum token. It is an asset backed token where the underlying assets represent an accumulation of different ERC20 tokens over time. The underlying assets are secured inside the TKN Asset Contract from which TKN holders can redeem their pro-rata share from.",TKN,2nd May 2017,2nd May 2017,https://tokencard.io,UK,https://tokencard.io/tokencard_whitepaper.pdf
