cat1,cat2,name,raised,desc,ticker,start,end,www
neglected coin,,ALL,1,2016-Current,ALL,"","",https://www.coinopsy.com/dead-coins/allion/,
failed ico,,Ambr,1,2017-2018,Ambr,"","",https://www.coinopsy.com/dead-coins/amberport/,
low volume,,UTA,1,2017-2018,UTA,"","",https://www.coinopsy.com/dead-coins/utacoin/,
scam coin,,ALN,1,2014-2014,ALN,"","",https://www.coinopsy.com/dead-coins/aliencoin/,
abandoned project,,LAZ,1,2016-2018,LAZ,"","",https://www.coinopsy.com/dead-coins/lazaruscoin/,
no activity,,DRS,1,2017-Current,DRS,"","",https://www.coinopsy.com/dead-coins/digital-rupees/,
failed ico,,ALW,1,2017-2018,ALW,"","",https://www.coinopsy.com/dead-coins/allowance-network/,
scam ico,,TRM,1,2017-2018,TRM,"","",https://www.coinopsy.com/dead-coins/terraminer/,
low volume,,OHM,1,2017-2018,OHM,"","",https://www.coinopsy.com/dead-coins/ohm/,
scam ico,,RNT,1,2017-2017,RNT,"","",https://www.coinopsy.com/dead-coins/hagglin/,
abandoned project,,ELITE,1,2017-Current,ELITE,"","",https://www.coinopsy.com/dead-coins/ethereum-lite/,
volume/social,,BERN,1,2016-2018,BERN,"","",https://www.coinopsy.com/dead-coins/berncash/,
failed ico,,AMT,1,2017-2018,AMT,"","",https://www.coinopsy.com/dead-coins/acumen/,
failed ico,,BOU,1,2017-2018,BOU,"","",https://www.coinopsy.com/dead-coins/boule/,
pump and dump,,N7,1,2016-2016,N7,"","",https://www.coinopsy.com/dead-coins/number7/,
abandoned project,,FIBRE,1,2014-2016,FIBRE,"","",https://www.coinopsy.com/dead-coins/fibre/,
hit and run,,FUDD,1,2017-2018,FUDD,"","",https://www.coinopsy.com/dead-coins/dimoncoin/,
redirects to ico,,8BIT,1,2015-Current,8BIT,"","",https://www.coinopsy.com/dead-coins/8bit/,
abandoned project,,FXE,1,2017-2018,FXE,"","",https://www.coinopsy.com/dead-coins/futurxe/,
site down,,DTC,1,2013-2018,DTC,"","",https://www.coinopsy.com/dead-coins/datacoin/,
failed ico,,CRD,1,2017-2017,CRD,"","",https://www.coinopsy.com/dead-coins/carderion/,
volume/ranking,,EVIL,1,2015-2018,EVIL,"","",https://www.coinopsy.com/dead-coins/evil-coin/,
failed ico,,ARNA,1,2017-2018,ARNA,"","",https://www.coinopsy.com/dead-coins/arna-genomics/,
limited exchanges/volume,,ANK,1,2017-2018,ANK,"","",https://www.coinopsy.com/dead-coins/ankorus/,
website down,,CRT,1,2014-2018,CRT,"","",https://www.coinopsy.com/dead-coins/crtcoin/,
closed down,,CRX,1,2016-Current,CRX,"","",https://www.coinopsy.com/dead-coins/chronos/,
website down,,ETHD,1,2017-2018,ETHD,"","",https://www.coinopsy.com/dead-coins/ethereum-dark/,
scam ring/abandoned,,ETHF,1,2018-2018,ETHF,"","",https://www.coinopsy.com/dead-coins/ethereum-future/,
failed ico,,MFV,1,2017-2018,MFV,"","",https://www.coinopsy.com/dead-coins/mfv/,
possible scam,,PLX,1,2017-Current,PLX,"","",https://www.coinopsy.com/dead-coins/plexcoin/,
scam/airdrop,,DUO,1,2018-2018,DUO,"","",https://www.coinopsy.com/dead-coins/dough/,
abandoned project,,OP,1,2015-2017,OP,"","",https://www.coinopsy.com/dead-coins/operand/,
closed down,,SIGT,1,2017-2018,SIGT,"","",https://www.coinopsy.com/dead-coins/signatum/,
scam ring,,CAID,1,2015-2016,CAID,"","",https://www.coinopsy.com/dead-coins/coinaid/,
failed ico,,ALDO,1,2017-2018,ALDO,"","",https://www.coinopsy.com/dead-coins/aldoin/,
abandonment/volume,,OPAL,1,2014-2018,OPAL,"","",https://www.coinopsy.com/dead-coins/opal/,
struggling coin,,Dvc,1,2014-Current,Dvc,"","",https://www.coinopsy.com/dead-coins/devcoin/,
low volume,,APC,1,2015-2018,APC,"","",https://www.coinopsy.com/dead-coins/alpacoin/,
pump and dump,,SNRG,1,2014-2018,SNRG,"","",https://www.coinopsy.com/dead-coins/synergy/,
low volume,,VISIO,1,2017-Current,VISIO,"","",https://www.coinopsy.com/dead-coins/visio/,
abandonment,,EXN,1,2017-2018,EXN,"","",https://www.coinopsy.com/dead-coins/exchangen/,
low volume,,SMOKE,1,2017-Current,SMOKE,"","",https://www.coinopsy.com/dead-coins/smoke/,
volume/social,,CTO,1,2015-2018,CTO,"","",https://www.coinopsy.com/dead-coins/crypto/,
abandoned project,,CTR,1,2017-2018,CTR,"","",https://www.coinopsy.com/dead-coins/centra/,
site down,,PR,1,2015-Current,PR,"","",https://www.coinopsy.com/dead-coins/prototanium/,
xmas only,,STC,1,2017-2018,STC,"","",https://www.coinopsy.com/dead-coins/santa-coin/,
pump and dump,,IMPS,1,2016-2018,IMPS,"","",https://www.coinopsy.com/dead-coins/impulsecoin/,
abandoned/volume,,NVST,1,2017-2018,NVST,"","",https://www.coinopsy.com/dead-coins/nvo/,
volume/website,,ZENI,1,2017-2018,ZENI,"","",https://www.coinopsy.com/dead-coins/zennies/,
abandoned/removed,,NERO,1,2018-2018,NERO,"","",https://www.coinopsy.com/dead-coins/nero/,
quit/failed ico,,BSS,1,2017-2018,BSS,"","",https://www.coinopsy.com/dead-coins/basis/,
low volume,,OMC,1,2016-2018,OMC,"","",https://www.coinopsy.com/dead-coins/omicron/,
scam coin,,FRAZ,1,2017-2018,FRAZ,"","",https://www.coinopsy.com/dead-coins/frazcoin/,
abandoned project,,RBIES,1,2016-Current,RBIES,"","",https://www.coinopsy.com/dead-coins/rubies/,
abandoned project,,NODE,1,2014-2016,NODE,"","",https://www.coinopsy.com/dead-coins/node/,
abandoned/removed,,LGA,1,2018-2018,LGA,"","",https://www.coinopsy.com/dead-coins/league-coin/,
abandoned/removed,,MIE,1,2018-2018,MIE,"","",https://www.coinopsy.com/dead-coins/motilecoin/,
