cat1,cat2,name,raised,desc,ticker,start,end,www,,
Platform,,crypto cashback rebate,,"We offer a platform to reward investors and traders via Cashback, Rebates and Discounts. Unlike many blockchain startups, we already have an established business which goes beyond a vision and a roadmap. Our solution make the market more effective, with higher volume and highest liquidity. Complete solution from CryptoCashbackRebate.com is a big chance for all the investors to receive maximum from each of their investment in the crypto currency market.",CCR,4th Apr 2018,18th Sep 2018,https://www.cryptocashbackrebate.com/ico,Hong Kong,
Communication,,e-chat,,"Decentralized Multi-tasking Messenger with capabilities of a multi-currency crypto-wallet. e-Chat incorporates all the best: • Awesome Messenger (chat, audio, and video calls) • Personal Finance (receive, transfer and exchange money using integrated multi-currency crypto-wallet or attach your credit card to pay for goods and services) • Best viral content • Ultimate Privacy and Security • Great Sustainability e-Chat Messenger has all standard functions such as the transmission of text, images, voice, video, files, stickers, secret chats, etc. but also offers these unique features: • SCREENS. Swipe left or right to switch between chats, rooms, and channels. • Use bots. The e-Chat platform allows bots for a variety of tasks. • Confidentiality. All data is encrypted with MTProto and diffused over the network of millions of computers around the globe. • Security. The highest level of security and privacy is provided by proofof-replication and proof-of-spacetime consensus, as well as with a robust codebase.",ECHT,8th Jan 2018,1st Mar 2018,https://ico.echat.io,Hong Kong,
Business services,,enecuum,,"The project was created as an ideal environment for decentralized applications and business applications. The basic requirements that we set for the project are scalability, speed and security. Using revolutionary developments - mobile mining, smart contracts on Petri nets and linear logic, a hybrid consensus algorithm and project management based on the time contribution to its development and many other solutions, we have created a protocol of tomorrow. Distributed experienced team is constantly working in Hong Kong, Dusseldorf, St. Petersburg, Seoul in order to launch the network and give everyone the opportunity to feel the block of tomorrow.",ENQ,21st Jun 2018,31st Dec 2018,https://enecuum.com,Hong Kong,
Retail,,galaxy esolutions,12,"Galaxy eSolutions (GES) is a Global eCommerce marketplace for refurbished and pre-owned consumer electronics. Operating as an open source ecosystem and incorporating the hybrid P2P Blockchain platform onto one of the marketplaces for phone trade-in that has a direct C2B and B2B model. This blockchain will be used for recording details of the goods, the logistics and transactions. It will reduce inefficiencies caused in supply chain, and resolve any supplier credibility issues. The tokens will become utility tokens and will be able to be used on the blockchain platform as discounted listing fee and transactions.",GES,28th Feb 2018,31st Mar 2018,https://galaxy-esolutions.com,Hong Kong,
Infrastructure,,gre,3.8585,"Global Risk Exchange (or GRE"") is a blockchain based  decentralized global risk exchange market  with the purpose of helping individuals  companies and organizations to hedge  trasfer and trade their risks. GRE completely reconstructed traditional risk management tools(insurance and derivative contracts) in a decentralized way  and will become the underlying operation system to support insurance and derivative industry in the era of blockchain.""",RISK,18th May 2018,24th May 2018,https://www.gref.io,Hong Kong,Hong Kong
Cryptocurrency,,kryptonium,,"Kryptonium is a cryptocurrency based on Cryptonote, which enables enhanced levels of privacy with features such as Ring CTs, i2p, Ghost and will facilitate the introduction of private smart contracts.",KRYP,13th May 2018,30th Jun 2018,https://kryptonium.io,Hong Kong,
Health,,md tokens,,"Our mission is to make healthcare really simple. That includes everything from seeing a doctor and getting medication, to keeping your employer in the loop and making insurance claims. In 2012, we started a digital platform that integrates all aspects of healthcare into one easy-to-use solution. It connects patients to doctors, pharmacies, insurers and laboratories.",MDTK,10th Mar 2018,10th Apr 2018,https://www.mdtokens.com,Hong Kong,
Artificial Intelligence,,qompass,2,"Harnessing the Power of AI, Neural Networks and Active Leverage to power Crypto Trading.",QPS,5th Apr 2018,30th May 2018,https://qompass.io,Hong Kong,
Platform,,transmission,0.55,"Transmission allows multi-currency transfers between network users. For example, if you need to send an ETH from US to China and the recipient must receive it in CNY, with cost not exceeding more than 1%, than Transmission is the right place for you. Compare two others transfer services our commissions for all transaction is 7 times lower.",TMN,30th Aug 2017,19th Sep 2017,http://tmission.io,Hong Kong,
Infrastructure,,astrcoin,,"Asteroid, Ltd. is building a decentralized database whereby private individuals, corporations and nation states can register claims on mining rights to over 600,000 identified asteroids in our near celestial orbit using a smart contract and proprietary BlockClaim® mechanisms. The system will be modelled after ICANN, a system familiar to us all, whereby individuals who desire to “claim” a website address apply for a specific website and register their domain.",ASTR,6th Nov 2017,20th Jan 2018,https://www.astrcoin.io,Hong Kong,
